// Common messages
GENERIC_LOADING,Cargando...
GENERIC_NEXT,Siguiente
GENERIC_FINISH,Completado
GENERIC_QUIT,Abandonar
GENERIC_CANCEL,Cancelar
GENERIC_ACCEPT,Aceptar
GENERIC_COSPLAY,Cosplay
GENERIC_COSPLAY_TITLE,COSPLAY
GENERIC_CATCREW,Tripulación
GENERIC_CATCREW_TITLE,TRIPULACIÓN
GENERIC_FIGHT,¡Combate!
GENERIC_CATS,Gatos
GENERIC_RECRUIT_CATS,Reclutar Gatos
GENERIC_SETTINGS,OPCIONES
GENERIC_FREE_COINS,¡Monedas gratis!
GENERIC_FREE,¡Gratis!
GENERIC_PAUSE,PAUSA

// Pop ups
POP_UP_CONFIRMATION_QUIT,¿Estás seguro de querer abandonar el combate?
POP_UP_NO_RESOURCES_TITLE,¡No hay suficientes monedas!
POP_UP_NO_RESOURCES_DESCRIPTION,¡Mira un video y recibe 250 monedas gratis!

// Main menu
MAINMENU_RECRUITMENT_TITLE,RECLUTAMIENTO
MAINMENU_RECRUITMENT_CATEGORY_CATS_BASIC,Gatitos
MAINMENU_RECRUITMENT_CATEGORY_CATS_SPECIAL,Grandes Ronroneadores
MAINMENU_RECRUITMENT_CATEGORY_SKIN_BASIC,De Bajo Costo
MAINMENU_RECRUITMENT_CATEGORY_SKIN_SPECIAL,Listos para la Convención
MAINMENU_RECRUITMENT_CATEGORY_SKIN_PREMIUM,¿!Cuánto te costó!?
// Tutorial
MAINMENU_TUTORIAL_COMBAT1,!Qué pelea!
MAINMENU_TUTORIAL_COMBAT2,Felicidades en encargarte de esos inexpertos gatos piratas, ¡esta solo fue la primera de muchas batallas!
MAINMENU_TUTORIAL_COMBAT3,¡Ah! Y por cierto, ¡Bienvenido a tu isla! ¡Todo lo que ves es tuyo!
MAINMENU_TUTORIAL_COMBAT4,¡Estoy feliz que regresaras con tal botín!, puedes hacer muchas cosas con eso, pero no te preocupes, no te abrumaré con eso por el momento. ¡Disfruta tu Isla!
MAINMENU_TUTORIAL_RECRUITMENT1,Hora de explicar, las monedas te permiten reclutar gatos, recuerda que nos queremos convertir en la Tripulación Gatuna número 1, y para alcanzarlo, necesitamos un equipo
MAINMENU_TUTORIAL_RECRUITMENT2,Existen Gatos quisquillosos que te cobrarán grandes cantidades de monedas, checa primero sus precios, pero no te preocupes, todos son expertos y todos son dignos.
MAINMENU_TUTORIAL_RECRUITMENT3,Ehem… Esto puede sonar raro, pero todos los presentes somos cosplayers, somos Gatos Pirata Cosplayers, y el disfrzarnos nos hace sentir más poderosos, así que visita la tienda de Cosplay también y ¡tráenos algunas cosas grandiosas de ahí!
MAINMENU_TUTORIAL_RECRUITMENT4,¡Ahora ve y recluta un montón de gatos! Sólo por ser tú, el primer recluta va gratis.
MAINMENU_TUTORIAL_ISLAND1,Cuando reclutas gatos, los verás vagando alrededor de la isla, selecciona cualquiera de ellos y podrás cambiar su cosplay y manejar tu tripulación.
MAINMENU_TUTORIAL_ISLAND2,¡Ahora ve a dar una vuelta por tu Isla!
MAINMENU_TUTORIAL_ISLAND3,Una cosa más antes de irme, si sólo quieres ir y combatir, da click en el barco y selecciona la opción <B><color=#302DD2>¡Combate!</B></color>
MAINMENU_TUTORIAL_CREW1,Tu tripulación consiste en 4 grandes Piratas, aquí podrás elegir a los 4 grandes que quieres para tu próxima batalla.
MAINMENU_TUTORIAL_CREW2,Selecciona el gato que quieres cambiar de tu barco, luego selecciona el gato que quieres desde tu lista de gatos y eso es todo (también funciona viceversa)

// Combat
COMBAT_SKIP,Saltar introducción
COMBAT_READY,¿Listos?
COMBAT_GO,¡Adelante!
RESULT_SCREEN_TITLE,¡GANASTE!
RESULT_SCREEN_TITLE_SUMMARY,Ganaste:
RESULT_SCREEN_REWARD_TITLE,Tu recompensa:
RESULT_SCREEN_AD,¡Mira un anuncio y duplica tu recompensa!
REVIVE_SCREEN_TITLE1,¡Oh, no!
REVIVE_SCREEN_TITLE2,¡Perdimos!
REVIVE_SCREEN_DESCRIPTION,Capitán, ¡Fuimos derrotados! \nPero tenemos otra oportunidad
REVIVE_SCREEN_AD,¡Mira un anuncio o paga algunas monedas para continuar la pelea! 
REVIVE_SCREEN_QUIT,No, gracias, vayámonos a la isla

// Tutorial
TUTORIAL_COMBAT_1,¡Espera, Pirata! Sé que no puedes esperar a ganarle a esos gatitos usando nuestra poderosa <B> Gran Fuerza de Ronroneos Gatunos </B>, pero déjame explicarte lo básico
TUTORIAL_COMBAT_2,Los 4 de nosotros en tu tripulación estamos a cargo de diferentes ataques dentro del barco
TUTORIAL_COMBAT_3,Uno está a cargo del <color=#0000FF> <B>Cañón Básico </color></B>, haz click en el medio de la pantalla para dispararlo. Puedes disparar las veces que quieras.
TUTORIAL_COMBAT_4,Dos están a cargo de los <color=#0000FF><B>Cañones Fuertes</color></B>, haz click en la parte izquierda o derecha de la pantalla para dispararlos. Son fuertes pero necesitarás esperar a que terminen de recargarse, ¡pon atención!
TUTORIAL_COMBAT_5,El otro miembro de la tripulación está a cargo del <color=#0000FF><B>Cañón Automático</color></B>, no te preocupes, sabe qué hacer, disparará automáticamente de vez en cuando.
TUTORIAL_COMBAT_6,Finalmente, un cañón para superar el Steel Gear... el <color=#0000FF><B>Cañón del Gran Ronroneo</color></B>, notarás cuando esté listo, sólo toca el botón y verás el verdadero poder de la bola de estambre, toma tiempo en estar listo, así que espera un poco.
TUTORIAL_COMBAT_7,Eso es todo por ahora,sólo recuerda, los enemigos serán diferentes de vez en cuando, te enfrentarás a algunos Gatos Piratas fuertes y otras veces sólo te encontrarás con algunos gatitos recién graduados de la <B><I>Escuela de Piratas para Gatitos Pirata</B></I>, que serán muy fáciles de derrotar.
TUTORIAL_COMBAT_8,En fin, ¡es hora de probar quién es la <B>Tripulación de Gatos Pirata</B> número 1!
TUTORIAL_COMBAT_WEAKSPOT,¿Ves ese punto rojo en la ventana del barco enemigo? Significa que tienen problemas ahí, dispara directamente para causar un daño aún más grande a su barco
TUTORIAL_COMBAT_RESOURCES,Una cosa más, de vez en cuando, los enemigos soltarán cajas de su barco, piensan que eso los mantendrá a flote (qué inocentes gatitos), ¡dispárales para romperlas y quedarte con sus recursos!

